ഡബിൾ അ	AA
ഡബിൾ എ	AA
ഡബിൾ ബി	BB
ഡബിൾ ബ	BB
ഡബിൾ സി	CC
ഡബിൾ ഡി	DD
ഡബിൾ ഇ	EE
ഡബിൾ എഫ്	FF
ഡബിൾ ഗ്	GG
ഡബിൾ ജി	GG
ഡബിൾ എച്ച്	HH
ഡബിൾ ഹ്	HH
ഡബിൾ ഐ	II
ഡബിൾ ജെ	JJ
ഡബിൾ കെ	KK
ഡബിൾ എൽ	LL
ഡബിൾ ൽ	LL
ഡബിൾ എം	MM
ഡബിൾ ന്	NN
ഡബിൾ ൻ	NN
ഡബിൾ എൻ	NN
ഡബിൾ ഓ	OO
ഡബിൾ ഒ	OO
ഡബിൾ പ്	PP
ഡബിൾ പി	PP
ഡബിൾ ക്യൂ	QQ
ഡബിൾ ആർ	RR
ഡബിൾ സ്	SS
ഡബിൾ എസ്	SS
ഡബിൾ ടി	TT
ഡബിൾ ടി്	TT
ഡബിൾ ട്	TT
ഡബിൾ യു	UU
ഡബിൾ ഉ	UU
ഡബിൾ ഉു	UU
ഡബിൾ വി	VV
ഡബിൾ വു	WW
ഡബിൾ ഡബ്ല്യ	WW
ഡബിൾ ഡബ്ല്യൂ	WW
ഡബിൾ എക്സ്	XX
ഡബിൾ യ്	YY
ഡബിൾ വൈ	YY
ഡബിൾ സ്	ZZ
ഡബിൾ ഇസഡ്	ZZ
ഡബിൾ ഇസഡ്	ZZ
ഡബിൾ ജെഡ്	ZZ
