ڏهه	10
يارهن	11
ٻارهن	12
تيرهن	13
چوڏهن	14
پندرهن	15
سولهن	16
سترهن	17
ارڙهن	18
اڻويهه	19
ويهه	20
ايڪويهه	21
ٻويهه	22
ٽيويهه	23
چوويهه	24
پنجويهه	25
ڇويهه	26
ستويهه	27
اٺويهه	28
اڻويهه	29
ٽيهه	30
ايڪٽيهه	31
ٽيهه ٻه	32
ٽيٽيهه	33
چونٽيهه	34
پنجٽيهه	35
ڇٽيهه	36
ستٽيهه	37
اٺٽيهه	38
اڻٽيهه	39
چاليهه	40
اڪيتاليهه	41
چاليهه ٻه	42
ٽيتاليهه	43
چونتاليهه	44
پنتاليهه	45
ڇتاليهن	46
ستتاليهه	47
اٺتاليهه	48
انتاليهه	49
پنجاهه	50
ايڪتاون	51
باون پنجاهه	52
پنجھٽیھ	53
پنجاهه چار	54
پنجاهه پنجاهه	55
پنجاهه ڇهه	56
پنجاهه ستاون	57
اٺ پنجاهه	58
پنجاهه انويهه	59
سٺ	60
ايڪاسٺ	61
ٻهسٺ	62
تریسٽیھ	63
چونسٺ	64
پنجاهه پنجاهه	65
سٺ ڇهه	66
سٺ سٺ	67
اٺاسٺ	68
سٺ اڻسٺ	69
ستر	70
ايڪهتر	71
ستر ٻه	72
ستتر ٽی	73
ستتر-چوتر	74
پنجاهه	75
ستر ڇهه	76
ستتر	77
اٺتر	78
ستتر نو	79
اسي	80
اڪياسي	81
بیٽیھ	82
تياسی	83
چوراسی	84
پنجاسی	85
ساٺٽیھ	86
ستاسي	87
اٺاسي	88
اڻاسی	89
نوي	90
ايڪانوي	91
ٻانوي	92
ترانوي	93
چورانوي	94
پچانوي	95
ڇانوٽیھ	96
ستانوي	97
اٺانوي	98
نونٽیھ	99
